Date : 2025-10-26 20:16:27
Directory : c:\Users\Saplonily\Home\Projects\CelesteMods
Total : 349 files,  7871 codes, 324 comments, 1117 blanks, all 9312 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_53.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_54.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_55.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_56.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_57.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_58.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_59.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_60.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_61.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_62.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_63.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_64.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_65.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_66.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_67.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_68.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_69.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_70.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_71.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_72.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969542071741500_73.png                                                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Fonts\chinese_638969611413252379_0.png                                                                     | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\Dialog\Simplified Chinese.txt                                                                                     | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\ModFolder\everest.yaml                                                                                                      | YAML          |          6 |          0 |          1 |          7 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\UI\BeiDanCiMenu.cs                                                                                                          | C#            |        136 |          2 |         26 |        164 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\UI\DisabledNoSoundButton.cs                                                                                                 | C#            |         13 |          0 |          3 |         16 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\UI\DisabledNoSoundMultilineButton.cs                                                                                        | C#            |         15 |          0 |          4 |         19 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\UI\LinePadding.cs                                                                                                           | C#            |          6 |          0 |          2 |          8 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\UI\MultilineButton.cs                                                                                                       | C#            |         10 |          0 |          3 |         13 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\design.md                                                                                                                   | Markdown      |         13 |          0 |          9 |         22 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BeiDanCi\publishToZip.ps1                                                                                                            | PowerShell    |          7 |          0 |          0 |          7 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BetterFreezeFrames\.editorconfig                                                                                                     | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BetterFreezeFrames\BetterFreezeFrames.csproj                                                                                         | XML           |         21 |          0 |          3 |         24 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BetterFreezeFrames\BetterFreezeFrames.sln                                                                                            | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BetterFreezeFrames\BetterFreezeFramesModule.cs                                                                                       | C#            |        140 |         15 |         22 |        177 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BetterFreezeFrames\BetterFreezeFramesSettings.cs                                                                                     | C#            |         41 |          0 |          4 |         45 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BetterFreezeFrames\CelesteMod.props                                                                                                  | XML           |         64 |          2 |          5 |         71 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BetterFreezeFrames\CelesteMod.targets                                                                                                | XML           |         64 |          3 |         14 |         81 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BetterFreezeFrames\GlobalUsings.cs                                                                                                   | C#            |          1 |          0 |          0 |          1 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BetterFreezeFrames\HookUtils.cs                                                                                                      | C#            |         24 |          0 |          3 |         27 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BetterFreezeFrames\ModFolder\Dialog\english.txt                                                                                      | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BetterFreezeFrames\ModFolder\everest.yaml                                                                                            | YAML          |         17 |          0 |          1 |         18 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BetterFreezeFrames\Modules\HelpersModule.cs                                                                                          | C#            |         54 |          0 |         15 |         69 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BetterFreezeFrames\Modules\VanillaModule.cs                                                                                          | C#            |         73 |          0 |          7 |         80 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BetterFreezeFrames\README.md                                                                                                         | Markdown      |          3 |          0 |          1 |          4 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BetterFreezeFrames\publishToZip.ps1                                                                                                  | PowerShell    |          7 |          0 |          0 |          7 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\.editorconfig                                                                                                             | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper.sln                                                                                                            | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\BitsHelper.csproj                                                                                              | XML           |         21 |          0 |          4 |         25 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\BitsHelperModule.cs                                                                                            | C#            |         30 |          0 |          7 |         37 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\BitsHelperSession.cs                                                                                           | C#            |          5 |          0 |          1 |          6 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\CelesteMod.props                                                                                               | XML           |         64 |          2 |          5 |         71 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\CelesteMod.targets                                                                                             | XML           |         64 |          3 |         14 |         81 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\Entities\BubbleCollider.cs                                                                                     | C#            |         21 |          0 |          3 |         24 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\Entities\BubbleCollider.hooks.cs                                                                               | C#            |         24 |          0 |          5 |         29 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\Entities\BubbleRefill.cs                                                                                       | C#            |        121 |          0 |         16 |        137 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\Entities\FacingToggleSwapBlock.cs                                                                              | C#            |        247 |         33 |         21 |        301 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\Entities\FacingToggleSwapBlock.hooks.cs                                                                        | C#            |         38 |          0 |          6 |         44 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\Entities\FloatingBubble.cs                                                                                     | C#            |        119 |          0 |         11 |        130 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\Entities\FloatingBubble.hooks.cs                                                                               | C#            |         23 |          0 |          6 |         29 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\Entities\FloatingBubbleEmitter.cs                                                                              | C#            |         43 |          0 |          7 |         50 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\Entities\TimerFloatingBubbleEmitter.cs                                                                         | C#            |         32 |          0 |          5 |         37 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\Entities\TriggerFloatingBubbleEmitter.cs                                                                       | C#            |         17 |          0 |          4 |         21 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Audio\bubblefx.bank                                                                                  | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Audio\bubblefx.guids.txt                                                                             | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\BitsHelper\blowBubbleIndicator.png                                         | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleEmitter\close00.png                               | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleEmitter\close01.png                               | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleEmitter\close02.png                               | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleEmitter\close03.png                               | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleEmitter\idle00.png                                | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleEmitter\open00.png                                | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleEmitter\open01.png                                | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleRefill\flash0.png                                 | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleRefill\flash1.png                                 | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleRefill\flash2.png                                 | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleRefill\flash3.png                                 | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleRefill\flash4.png                                 | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleRefill\flash5.png                                 | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleRefill\flash6.png                                 | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleRefill\idle0.png                                  | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleRefill\idle1.png                                  | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleRefill\idle2.png                                  | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleRefill\idle3.png                                  | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleRefill\idle4.png                                  | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleRefill\idle5.png                                  | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleRefill\idle6.png                                  | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubbleRefill\outline0.png                               | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubble\appear00.png                                     | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubble\appear01.png                                     | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubble\appear02.png                                     | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubble\idle00.png                                       | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubble\pop00.png                                        | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubble\pop01.png                                        | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubble\pop02.png                                        | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubble\pop03.png                                        | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\bubble\pop04.png                                        | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\facingSwap\block.png                                    | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\Atlases\Gameplay\objects\BitsHelper\facingSwap\blockRed.png                                 | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Graphics\BitsHelper\Sprites.xml                                                                      | XML           |         20 |          0 |          5 |         25 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Loenn\entities\bubbleRefill.lua                                                                      | Lua           |         11 |          0 |          2 |         13 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Loenn\entities\facingToggleSwapBlock.lua                                                             | Lua           |        103 |          0 |         32 |        135 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Loenn\entities\timerFloatingBubbleEmitter.lua                                                        | Lua           |         12 |          0 |          2 |         14 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Loenn\entities\triggerFloatingBubbleEmitter.lua                                                      | Lua           |         11 |          0 |          2 |         13 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Loenn\lang\en_gb.lang                                                                                | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\Loenn\triggers\bubbleEmitterFireTrigger.lua                                                          | Lua           |         12 |          0 |          2 |         14 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\ModFolder\everest.yaml                                                                                         | YAML          |          8 |          0 |          1 |          9 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\Modules\BlowBubble.cs                                                                                          | C#            |         69 |          0 |         14 |         83 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\BitsHelper\Triggers\BubbleEmitterFireTrigger.cs                                                                           | C#            |         25 |          0 |          4 |         29 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\BitsHelper\publishToZip.ps1                                                                                                          | PowerShell    |          7 |          0 |          0 |          7 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\.editorconfig                                                                                                          | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\CNY2024Helper.csproj                                                                                                   | XML           |         15 |          0 |          3 |         18 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\CNY2024Helper.sln                                                                                                      | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\CNY2024HelperModule.cs                                                                                                 | C#            |         18 |          0 |          5 |         23 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\CNY2024HelperSettings.cs                                                                                               | C#            |         21 |          0 |          2 |         23 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\CelesteMod.props                                                                                                       | XML           |         48 |          2 |          4 |         54 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\CelesteMod.targets                                                                                                     | XML           |         54 |          3 |          9 |         66 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\Common.props                                                                                                           | XML           |         10 |          1 |          0 |         11 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\DrivableCarLightModule.cs                                                                                              | C#            |         88 |          2 |         14 |        104 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\EasingBlackhole.cs                                                                                                     | C#            |         66 |          0 |          6 |         72 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\HeartsideInhaleTrigger.cs                                                                                              | C#            |         98 |          1 |          8 |        107 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\Legacy\IHPHKDialogEntity.cs                                                                                            | C#            |         90 |          0 |         12 |        102 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\Legacy\IHPHKRenderer.cs                                                                                                | C#            |         85 |          0 |         11 |         96 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\Legacy\notes.md                                                                                                        | Markdown      |          3 |          0 |          0 |          3 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Dialog\Simplified Chinese.txt                                                                                | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Dialog\english.txt                                                                                           | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Graphics\Atlases\Misc\CNY2024Helper\twirlA.png                                                               | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Graphics\Atlases\Misc\CNY2024Helper\twirlB.png                                                               | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Graphics\Atlases\Misc\CNY2024Helper\twirlC.png                                                               | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Graphics\Atlases\Misc\CNY2024Helper\twirlD.png                                                               | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Graphics\Atlases\Misc\CNY2024Helper\twirlE.png                                                               | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Graphics\Atlases\Misc\CNY2024Helper\twirlF.png                                                               | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Graphics\Atlases\Misc\CNY2024Helper\twirlG.png                                                               | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Graphics\Atlases\Misc\CNY2024Helper\twirlH.png                                                               | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Graphics\Atlases\Misc\CNY2024Helper\twirlI.png                                                               | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Graphics\Atlases\Misc\CNY2024Helper\twirlJ.png                                                               | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Graphics\Atlases\Misc\CNY2024Helper\twirlK.png                                                               | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Graphics\Atlases\Misc\CNY2024Helper\twirlL.png                                                               | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Graphics\Atlases\Misc\CNY2024Helper\twirlM.png                                                               | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Graphics\Atlases\Misc\CNY2024Helper\twirlN.png                                                               | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Graphics\Atlases\Misc\CNY2024Helper\twirlO.png                                                               | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Graphics\Sprites.xml                                                                                         | XML           |          7 |          0 |          0 |          7 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Loenn\effects\twirl.lua                                                                                      | Lua           |         15 |          0 |          3 |         18 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Loenn\entities\IHPHKDialogEntity.lua                                                                         | Lua           |         27 |          0 |          3 |         30 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Loenn\entities\easingBlackhole.lua                                                                           | Lua           |         23 |          0 |          3 |         26 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Loenn\lang\en_gb.lang                                                                                        | (Unsupported) |          0 |          0 |          0 |          0 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\Loenn\triggers\heartsideInhaleTrigger.lua                                                                    | Lua           |         14 |          0 |          3 |         17 |
| c:\Users\Saplonily\Home\Projects\CelesteMods\CNY2024Helper\ModFolder\everest.yaml                                                                                                 | YAML          |         12 |          0 |          0 |         12 |
